idTag,tag,idType,tagType,articles
44941,Star Wars,217,Franchise,21331
136063,Marvel Cinematic Universe,217,Franchise,14439
61245,90 Day Fianc?©,216,TV Show,14080
13051,DC Comics,217,Franchise,11792
5134,Batman,217,Franchise,7245
44858,Star Trek,217,Franchise,6560
55032,X-Men,217,Franchise,6084
136962,DC Universe,217,Franchise,5530
20731,Harry Potter,217,Franchise,5213
38043,Pokemon,217,Franchise,5161
44536,Spider-Man,217,Franchise,4649
246,Game Of Thrones,216,TV Show,4565
294252,Justice League,217,Franchise,4449
46248,Superman,217,Franchise,4079
66699,90 Day Fianc?©: Before the 90 Days,216,TV Show,3696
182232,90 Day Fianc?©,217,Franchise,3683
640683,90 Day Fianc?©: Happily Ever After?,216,TV Show,3657
14388,Doctor Who,216,TV Show,3521
50220,The Walking Dead,216,TV Show,3481
20731,Harry Potter,217,Franchise,5213
38043,Pokemon,217,Franchise,5161
44536,Spider-Man,217,Franchise,4649
246,Game Of Thrones,216,TV Show,4565
294252,Justice League,217,Franchise,4449
46248,Superman,217,Franchise,4079
66699,90 Day Fianc?©: Before the 90 Days,216,TV Show,3696
182232,90 Day Fianc?©,217,Franchise,3683
640683,90 Day Fianc?©: Happily Ever After?,216,TV Show,3657
14388,Doctor Who,216,TV Show,3521
50220,The Walking Dead,216,TV Show,3481
20731,Harry Potter,217,Franchise,5213
38043,Pokemon,217,Franchise,5161
44536,Spider-Man,217,Franchise,4649
246,Game Of Thrones,216,TV Show,4565
294252,Justice League,217,Franchise,4449
46248,Superman,217,Franchise,4079
66699,90 Day Fianc?©: Before the 90 Days,216,TV Show,3696
182232,90 Day Fianc?©,217,Franchise,3683
640683,90 Day Fianc?©: Happily Ever After?,216,TV Show,3657
14388,Doctor Who,216,TV Show,3521
50220,The Walking Dead,216,TV Show,3481
20731,Harry Potter,217,Franchise,5213
38043,Pokemon,217,Franchise,5161
44536,Spider-Man,217,Franchise,4649
246,Game Of Thrones,216,TV Show,4565
294252,Justice League,217,Franchise,4449
46248,Superman,217,Franchise,4079
66699,90 Day Fianc?©: Before the 90 Days,216,TV Show,3696
182232,90 Day Fianc?©,217,Franchise,3683
640683,90 Day Fianc?©: Happily Ever After?,216,TV Show,3657
14388,Doctor Who,216,TV Show,3521
50220,The Walking Dead,216,TV Show,3481
